编号,病历类型,方案编码,字段名,对应档案表,colid,打印值,默认录入值,列表顺序,排序方式,排序顺序,显示宽度,是否显示
82,羊水,01,nasal_bone,鼻骨,82,鼻骨,,77,0,79,30,True
83,羊水,01,b_check_description,B超描述,83,B超描述,,78,0,80,200,True
84,羊水,01,remarks,备注,84,备注,,140,,140,100,True
85,羊水,01,lmp,LMP,85,LMP,,80,0,82,-1,False
86,羊水,01,early_pregnancy,孕早期,86,孕早期,无特殊,81,0,83,80,False
87,羊水,01,exception_description,异常描述,87,异常描述,,82,0,84,150,False
88,羊水,01,infection_check,羊水传染病等检查,88,传染病等检查,,83,0,85,150,False
89,羊水,01,menses_ifrule,平素月经,89,平素月经_是否规则,,84,0,86,50,False
90,羊水,01,menses_days,月经天数,90,月经天数,,85,0,87,30,False
91,羊水,01,menses_cycle,月经周期,91,月经周期,,86,0,88,65,False
92,羊水,01,g,G,92,G,,87,0,89,20,False
93,羊水,01,p,P,93,P,,88,0,90,20,False
94,羊水,01,maternity_history,孕产史,94,孕产史,,89,0,91,200,False
95,羊水,01,past_family_history,过去史家庭史,95,过去史家庭史,无特殊,90,0,92,40,True
96,羊水,01,diagnosis2,诊断2,96,诊断2,,91,0,93,130,True
97,羊水,01,diagnosis1_g,G,97,诊断1_G,,92,0,94,30,False
98,羊水,01,diagnosis1_p,P,98,诊断1_P,,93,0,95,30,False
99,羊水,01,diagnosis1_pregnancy_week,孕周,99,诊断1_孕周,,94,0,96,40,False
100,羊水,01,diagnosis1_pregnancy_day,孕天,100,诊断1_孕天,,95,0,97,40,False
101,羊水,01,operation_pregnancy_week,孕周,101,手术孕周,,96,0,98,30,False
102,羊水,01,operation_pregnancy_day,孕天,102,手术孕天,,97,0,99,30,False
103,羊水,01,diagnostic_doctor,诊断医生,103,诊断医生,蒙达华,98,0,100,70,False
104,羊水,01,diagnostic_date,诊断日期,104,诊断日期,上次保存值,99,0,101,-1,False
105,羊水,01,plan_operation_date,拟手术日期,105,拟手术日期,上次保存值,100,0,102,-1,False
106,羊水,01,operation_date,手术日期,106,手术日期,上次保存值,2,0,4,-1,True
107,羊水,01,temperature,体温,107,体温,,101,0,103,30,False
108,羊水,01,blood_pressure_systolic,血压_收缩压,108,血压_收缩压,,102,0,104,40,False
109,羊水,01,blood_pressure_diastolic,血压_舒张压,109,血压_舒张压,,103,0,105,40,False
110,羊水,01,pulse,脉搏,110,脉搏,,104,0,106,30,False
111,羊水,01,ray_injection_induction,雷注引产术,111,雷注引产术,否,105,0,107,40,False
112,羊水,01,intrauterine_treatment,宫内治疗,112,宫内治疗,否,106,0,108,30,False
113,羊水,01,times,次数,113,次数,1,107,,109,20,False
114,羊水,01,surgical_placenta_location,手术胎盘位置,114,手术胎盘位置,,108,0,110,40,False
115,羊水,01,through_the_placenta,经否胎盘,115,经否胎盘,否,109,0,111,30,False
116,羊水,01,placental_hemorrhage,胎盘出血,116,胎盘出血,/,110,,112,30,False
117,羊水,01,operation_time,手术时间,117,手术时间,2,111,,113,30,False
118,羊水,01,extraction_sheep_water,抽羊水量,118,抽羊水量,30,112,0,114,30,False
119,羊水,01,amniotic_fluid_properties,羊水性质,119,羊水性质,清,113,0,115,30,False
120,羊水,01,preoperative_heart_rate,术前胎心率,120,术前胎心率,,114,0,116,30,False
121,羊水,01,postoperative_heart_rate,术后胎心率,121,术后胎心率,,115,0,117,30,False
122,羊水,01,operator,操作者,122,操作者,蒙达华,116,0,118,80,False
123,羊水,01,special_records,特殊记录,123,特殊记录,,117,0,119,200,False
124,羊水,01,chromosome_reporting_date,染色体报告日期,124,染色体报告日期,,119,,-1,-1,False
125,羊水,01,chromosome_project,染色体项目,125,染色体项目,染色体,118,,120,40,False
126,羊水,01,chromosome,染色体,126,染色体,,120,0,121,130,True
127,羊水,01,afp_project,AFP项目,127,AFP项目,AFP,121,,122,40,False
128,羊水,01,afp,AFP,128,AFP,,122,0,123,30,False
129,羊水,01,poverty_gene_reporting_date,地贫基因报告日期,129,地贫基因报告日期,,124,,-1,-1,False
130,羊水,01,poverty_gene_project,地贫基因项目,130,地贫基因项目,α缺失、αT、β,123,,124,60,True
131,羊水,01,poverty_gene,地贫基因,131,地贫基因,,125,0,125,200,True
132,羊水,01,dna_project,DNA项目,132,DNA项目,未检查,126,,126,-1,False
133,羊水,01,cmv_tox_dna,CMV、TOX-DNA,133,CMV、TOX-DNA,上次保存值,127,0,127,80,False
134,羊水,01,other_check_project,其他检查项目,134,其他检查项目,未检查,128,,128,-1,False
135,羊水,01,other_check,其他检查,135,其他检查,,129,0,129,70,False
136,羊水,01,department,科别,136,科别,,130,0,130,40,False
137,羊水,01,bed_no,床号,137,床号,,131,0,131,20,False
138,羊水,01,hospital_no,住院号,138,住院号,,132,0,132,50,False
139,羊水,01,exception_notification_date,异常通知日期,139,异常通知日期,,133,0,133,-1,True
140,羊水,01,exception_notification,异常通知,140,异常通知,,134,0,134,100,True
141,羊水,01,follow_up_date,随访日期,141,随访日期,上次保存值,136,0,135,-1,True
142,羊水,01,delivery_time,分娩时间,142,分娩时间,,137,0,136,-1,True
143,羊水,01,sex,性别,143,性别,,138,0,137,20,True
144,羊水,01,weight,体重,144,体重,,140,,138,30,True
145,羊水,01,length,身长,145,身长,,143,0,140,20,True
146,羊水,01,delivery_hospital,分娩医院,146,分娩医院,,144,,141,85,True
147,羊水,01,delivery_pregnancy_week,分娩孕周,147,分娩孕周,,145,,141,30,True
148,羊水,01,delivery_mode,分娩方式,148,分娩方式,,135,0,141,30,True
149,羊水,01,neonatal_condition,新生儿情况,149,新生儿情况,,142,0,142,60,True
150,羊水,01,loss_follow_up,失访,150,失访,,141,0,143,150,True
151,羊水,01,other_description,其他描述,151,其他描述,,139,0,139,200,True
152,羊水,01,entry_person,录入人,152,录入人,,145,,-1,25,False
153,羊水,01,modifier,修改人,153,修改人,,-1,,-1,-1,False
154,羊水,01,printing_times,打印次数,154,打印次数,,-1,,-1,-1,False
155,羊水,01,sending_person,送检人,155,送检人,,-1,,-1,-1,False
156,羊水,01,receiver,接收人,156,接收人,,-1,,-1,-1,False
157,羊水,01,receiver_time,接收时间,157,接收时间,,-1,,-1,-1,False
158,羊水,01,result_printing_times,结果打印次数,158,结果打印次数,,-1,,-1,-1,False
159,羊水,01,e3_nmol_1,E3_nmol/l,159,E3_nmol/l,,-1,,-1,-1,False
160,羊水,01,e3_mo,E3_Mo,160,E3_Mo,,-1,,-1,-1,False
161,羊水,01,early_pregnancy_b_hcg_ng_l,早孕β-HCG_ng/l,161,早孕β-HCG_ng/l,,-1,,-1,-1,False
162,羊水,01,early_pregnancy_b_hcg_mo,早孕β-HCG_Mo,162,早孕β-HCG_Mo,,-1,,-1,-1,False
163,羊水,01,ctr,心胸比,163,心胸比,,-1,,-1,-1,False
164,羊水,01,exception_notification_person,异常通知人,164,异常通知人,,-1,,-1,-1,False
165,羊水,01,treatment_times,治疗次数,165,治疗次数,,-1,,-1,-1,False
166,羊水,01,id_number,身份证号,166,身份证号,,-1,,-1,-1,False
